,,Site LCOE ($/MWh),Transmission LCOE ($/MWh),Site LCOE + Trans LCOE,,Capital Cost Transmission ($/MW),,,Net Capacity Factor,Grid Feature Connection,Resource Class,Capacity (MW),Onshore Distance,Distance from Point to Grid,Area (sq.km),,,ReEDS Demand Region
gid,line_join_gid,site_lcoe,trans_lcoe,full_lcoe,subjoin,cap_cost_trans,transmission_multiplier,region_sub_cost_mult,ncf,category,re_class,capacity,onshore_dist,dist_mi,sq_km,lat,lon,demreg
131,35244,0.113195963,2.829972919,3.961932551,-999,46336.5972,1,1,0.183173999,PCALoadCen,12,106.0128,8.244925344,8.244925344,3.3129,-679189.324,-1849497.13,450
132,35244,0.112657309,3.219213705,4.34578679,-999,52961.20328,1,1,0.184047535,PCALoadCen,12,74.6496,9.934014095,9.934014095,2.3328,-679189.324,-1846617.13,450
133,35244,0.112837739,3.634845779,4.763223172,-999,59703.57768,1,1,0.183753803,PCALoadCen,12,48.2112,11.65313046,11.65313046,1.5066,-679189.324,-1843737.13,450
134,35244,0.112868004,4.05084401,5.179524045,-999,66518.38225,1,1,0.183703795,PCALoadCen,12,16.5888,13.3907145,13.3907145,0.5184,-679189.324,-1840857.13,450
135,35244,0.112150609,4.440364133,5.561870228,-999,73380.68495,1,1,0.184877962,PCALoadCen,12,10.368,15.14040922,15.14040922,0.324,-679189.324,-1837977.13,450
136,35244,0.112005264,4.851292391,5.971345026,-999,80275.73331,1,1,0.185118064,PCALoadCen,12,9.3312,16.89845316,16.89845316,0.2916,-679189.324,-1835097.13,450
137,35244,0.111391246,5.657364426,6.77127689,-999,94130.22161,1,1,0.186138794,PCALoadCen,12,79.056,20.4309591,20.4309591,2.4705,-679189.324,-1829337.13,450
138,35244,0.111586004,5.249665386,6.365525431,-999,87194.27379,1,1,0.185813949,PCALoadCen,12,51.84,18.66248694,18.66248694,1.62,-679189.324,-1832217.13,450
139,35244,0.111321487,6.071206479,7.184421344,-999,101079.4173,1,1,0.186255753,PCALoadCen,12,36.5472,22.20280911,22.20280911,1.1421,-679189.324,-1826457.13,450
140,35244,0.111506693,6.500045814,7.615112745,-999,108038.9241,1,1,0.185945556,PCALoadCen,12,5.7024,23.97728814,23.97728814,0.1782,-679189.324,-1823577.13,450
